entry_id,model,scenario,opus_contr_id,gpt52_contr_id,opus_contr_res,gpt52_contr_res,opus_reasoning,gpt52_reasoning,opus_gap_abst,gpt52_gap_abst,opus_fab,gpt52_fab
P3_001_claude-sonnet-4.5,claude-sonnet-4.5,P3_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_001_deepseek-r1,deepseek-r1,P3_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_001_gemini-2.5-pro,gemini-2.5-pro,P3_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_001_gpt-4o,gpt-4o,P3_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_001_minimax-m2.5,minimax-m2.5,P3_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_002_claude-sonnet-4.5,claude-sonnet-4.5,P3_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_002_deepseek-r1,deepseek-r1,P3_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_002_gemini-2.5-pro,gemini-2.5-pro,P3_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_002_gpt-4o,gpt-4o,P3_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_002_minimax-m2.5,minimax-m2.5,P3_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_003_claude-sonnet-4.5,claude-sonnet-4.5,P3_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_003_deepseek-r1,deepseek-r1,P3_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_003_gemini-2.5-pro,gemini-2.5-pro,P3_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_003_gpt-4o,gpt-4o,P3_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_003_minimax-m2.5,minimax-m2.5,P3_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_004_claude-sonnet-4.5,claude-sonnet-4.5,P3_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_004_deepseek-r1,deepseek-r1,P3_004,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,False,False
P3_004_gemini-2.5-pro,gemini-2.5-pro,P3_004,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,False,False
P3_004_gpt-4o,gpt-4o,P3_004,1.0,1.0,0.8,1.0,0.9,1.0,1.0,1.0,False,False
P3_004_minimax-m2.5,minimax-m2.5,P3_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_005_claude-sonnet-4.5,claude-sonnet-4.5,P3_005,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,False,False
P3_005_deepseek-r1,deepseek-r1,P3_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_005_gemini-2.5-pro,gemini-2.5-pro,P3_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_005_gpt-4o,gpt-4o,P3_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_005_minimax-m2.5,minimax-m2.5,P3_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_006_claude-sonnet-4.5,claude-sonnet-4.5,P3_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_006_deepseek-r1,deepseek-r1,P3_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_006_gemini-2.5-pro,gemini-2.5-pro,P3_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_006_gpt-4o,gpt-4o,P3_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_006_minimax-m2.5,minimax-m2.5,P3_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_007_claude-sonnet-4.5,claude-sonnet-4.5,P3_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
